totallines,i,refractiveindex,bigradius,a,b,z,anglez,c,anglea,incidentangle,refractiveangle,anglede,dx,ee,et,ex,ey,anglece,angleced,outangle,mycolor
100, 1, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 3.500000, 2.332527, 46.257851, -2.420415, 0.493867, 6.533614, 2.097018, 7.720267, 74.803679, 28.545828, 45.790276, orange 
100, 2, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.000000, 2.665462, 45.924916, -2.386829, 0.495007, 6.544032, 2.165203, 7.701422, 74.297029, 28.372114, 45.462702, yellow 
100, 3, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 4.500000, 2.998285, 45.592093, -2.352874, 0.496676, 6.553903, 2.233297, 7.681952, 73.789793, 28.197700, 45.135177, green 
100, 4, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 5.000000, 3.330980, 45.259398, -2.318544, 0.498883, 6.563215, 2.301291, 7.661857, 73.282001, 28.022603, 44.807716, blue 
100, 5, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 5.500000, 3.663534, 44.926844, -2.283832, 0.501636, 6.571959, 2.369174, 7.641139, 72.773683, 27.846839, 44.480335, red 
100, 6, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 6.000000, 3.995932, 44.594446, -2.248730, 0.504945, 6.580123, 2.436937, 7.619799, 72.264870, 27.670423, 44.153050, orange 
100, 7, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 6.500000, 4.328159, 44.262218, -2.213230, 0.508818, 6.587696, 2.504569, 7.597838, 71.755593, 27.493374, 43.825875, yellow 
100, 8, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 7.000000, 4.660203, 43.930175, -2.177326, 0.513265, 6.594667, 2.572060, 7.575256, 71.245882, 27.315707, 43.498826, green 
100, 9, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 7.500000, 4.992047, 43.598331, -2.141009, 0.518294, 6.601025, 2.639401, 7.552057, 70.735770, 27.137439, 43.171919, blue 
100, 10, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 8.000000, 5.323678, 43.266700, -2.104271, 0.523916, 6.606759, 2.706581, 7.528241, 70.225286, 26.958586, 42.845169, red 
100, 11, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 8.500000, 5.655081, 42.935297, -2.067104, 0.530141, 6.611857, 2.773591, 7.503812, 69.714463, 26.779166, 42.518592, orange 
100, 12, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 9.000000, 5.986241, 42.604136, -2.029500, 0.536978, 6.616307, 2.840421, 7.478771, 69.203331, 26.599195, 42.192204, yellow 
100, 13, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 9.500000, 6.317145, 42.273233, -1.991450, 0.544437, 6.620097, 2.907061, 7.453120, 68.691923, 26.418690, 41.866019, green 
100, 14, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 10.000000, 6.647777, 41.942601, -1.952945, 0.552528, 6.623215, 2.973500, 7.426863, 68.180269, 26.237668, 41.540054, blue 
100, 15, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 10.500000, 6.978123, 41.612255, -1.913977, 0.561262, 6.625650, 3.039731, 7.400002, 67.668401, 26.056146, 41.214324, red 
100, 16, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 11.000000, 7.308167, 41.282211, -1.874535, 0.570650, 6.627389, 3.105742, 7.372541, 67.156353, 25.874142, 40.888845, orange 
100, 17, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 11.500000, 7.637896, 40.952482, -1.834611, 0.580702, 6.628418, 3.171524, 7.344483, 66.644154, 25.691672, 40.563633, yellow 
100, 18, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 12.000000, 7.967293, 40.623085, -1.794195, 0.591430, 6.628726, 3.237068, 7.315832, 66.131838, 25.508754, 40.238704, green 
100, 19, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 12.500000, 8.296345, 40.294033, -1.753277, 0.602844, 6.628300, 3.302364, 7.286590, 65.619438, 25.325405, 39.914072, blue 
100, 20, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 13.000000, 8.625036, 39.965342, -1.711847, 0.614956, 6.627126, 3.367402, 7.256763, 65.106984, 25.141642, 39.589755, red 
100, 21, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 13.500000, 8.953350, 39.637028, -1.669894, 0.627779, 6.625191, 3.432173, 7.226354, 64.594511, 24.957483, 39.265768, orange 
100, 22, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 14.000000, 9.281273, 39.309105, -1.627407, 0.641322, 6.622481, 3.496669, 7.195367, 64.082051, 24.772946, 38.942127, yellow 
100, 23, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 14.500000, 9.608790, 38.981588, -1.584376, 0.655600, 6.618983, 3.560878, 7.163808, 63.569636, 24.588048, 38.618849, green 
100, 24, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 15.000000, 9.935884, 38.654494, -1.540790, 0.670624, 6.614683, 3.624794, 7.131681, 63.057300, 24.402806, 38.295949, blue 
100, 25, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 15.500000, 10.262540, 38.327838, -1.496636, 0.686407, 6.609567, 3.688405, 7.098991, 62.545076, 24.217239, 37.973444, red 
100, 26, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 16.000000, 10.588744, 38.001634, -1.451903, 0.702962, 6.603620, 3.751704, 7.065743, 62.032998, 24.031364, 37.651350, orange 
100, 27, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 16.500000, 10.914478, 37.675900, -1.406580, 0.720302, 6.596827, 3.814681, 7.031942, 61.521099, 23.845199, 37.329683, yellow 
100, 28, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 17.000000, 11.239727, 37.350651, -1.360653, 0.738440, 6.589173, 3.877327, 6.997595, 61.009412, 23.658762, 37.008460, green 
100, 29, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 17.500000, 11.564476, 37.025902, -1.314111, 0.757390, 6.580644, 3.939635, 6.962706, 60.497972, 23.472070, 36.687698, blue 
100, 30, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 18.000000, 11.888708, 36.701670, -1.266939, 0.777167, 6.571224, 4.001594, 6.927282, 59.986813, 23.285143, 36.367413, red 
100, 31, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 18.500000, 12.212407, 36.377971, -1.219124, 0.797784, 6.560897, 4.063198, 6.891330, 59.475970, 23.097998, 36.047622, orange 
100, 32, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 19.000000, 12.535556, 36.054822, -1.170654, 0.819257, 6.549647, 4.124436, 6.854854, 58.965475, 22.910654, 35.728342, yellow 
100, 33, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 19.500000, 12.858140, 35.732238, -1.121514, 0.841599, 6.537458, 4.185301, 6.817863, 58.455365, 22.723128, 35.409590, green 
100, 34, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 20.000000, 13.180142, 35.410236, -1.071689, 0.864828, 6.524314, 4.245785, 6.780362, 57.945674, 22.535438, 35.091382, blue 
100, 35, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 20.500000, 13.501545, 35.088833, -1.021165, 0.888957, 6.510196, 4.305879, 6.742359, 57.436437, 22.347604, 34.773737, red 
100, 36, 1.500000, 8.000000, 3.000000, 3.000000, 7.416198, 22.024313, -5.291503, 131.409622, 21.000000, 13.822333, 34.768045, -0.969927, 0.914003, 6.495089, 4.365576, 6.703860, 56.927690, 22.159644, 34.456671, orange 
